track,metric,latency_kind,ch_label,ch_session,ch_model,c2_label,c2_campaign,c2_model,bench,size_family,ch_best,ch_avg,ch_worst,c2_best,c2_avg,c2_worst,ch_latency,c2_latency,ratio_c2_over_ch,winner,ch_dsp,c2_dsp,note
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,3mm,hlsfactory,7018,7018,7018,90518,90518,90518,7018,90518,12.89797663151895,chathls,2860,881,xml:kernel_3mm_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,atax,poly_mini,915,915,915,1859,1859,1859,915,1859,2.031693989071038,chathls,16,336,xml:atax_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,bicg,poly_mini,843,843,843,982,982,982,843,982,1.1648873072360617,chathls,16,16,xml:bicg_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,covariance,poly_mini,4926,10750,17022,2937,5114,6290,10750,5114,0.4757209302325581,c2hls,8,44,xml:covariance_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,gemm,poly_mini,902,902,902,1419,1419,1419,902,1419,1.5731707317073171,chathls,271,9160,xml:gemm_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,gemm_blocked,machsuite_64,2097166,2097166,2097166,593986,593986,593986,2097166,593986,0.283232705470144,c2hls,11,77,xml:gemm_blocked_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,gemm_ncubed,machsuite_64,4627,4627,4627,307404,307404,307404,4627,307404,66.43700021612275,chathls,1408,11,xml:gemm_ncubed_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,gesummv,poly_mini,482,482,482,878,878,878,482,878,1.8215767634854771,chathls,20,64,xml:gesummv_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,matmul,poly_mini,660,660,660,53217,53217,53217,660,53217,80.63181818181818,chathls,19974,24,xml:matmul_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,mvt,poly_mini,1234,1234,1234,2149,2149,2149,1234,2149,1.7414910858995138,chathls,16,32,xml:mvt_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,symm,hlsfactory,311596,311596,311596,1057457,21731057,42404657,311596,21731057,69.74112953953195,chathls,30,19,xml:kernel_symm_csynth.xml
